Date,Сalories (kсal),Distance (m),Height (m),Min. latitude (deg.),Min. longitude (deg.),Max. latitude (deg.),Max. longitude (deg.),Average Speed (m/s),Max. Speed (m/s),Min. Speed (m/s),Number of Steps,Average weight (kg),Max. weight (kg),Min. weight (kg),Active Minutes,Heart Beats,Duration: Rest (ms),Duration: Walking (ms),Duration: Running (ms),Duration: Calisthenics (ms),Duration: Gymnastics (ms),Duration: Pilates (ms),Duration: Sleeping (ms),Duration: Swimming (ms)
2019-11-18,1847.3236862655663,5592.939340531826,,31.7805399,35.2127861,31.8258699,35.2439271,0.8957092578184873,2.0917255878448486,0.0,8953,,,,126,,75054092,5307567,,,,,,1800000
2019-11-19,1913.8103147401189,6837.290597140789,,31.7789634,35.2154034,31.8250032,35.2459603,1.1175128777797194,35.4900016784668,0.005132836289703846,9976,,,,140,,74276140,6647246,,,,,,1800000
2019-11-20,1539.4032857390011,2870.656876683235,,31.819532,35.2395403,31.8217585,35.2460784,0.8180940064855551,1.6301811933517456,0.2504701018333435,4889,,,,51,,81905859,2910461,,,,,,
2019-11-21,1631.7336872468632,5489.413714230061,,31.780468,35.2125429,31.8218959,35.246025,0.6724995613250858,2.05735182762146,0.16536051034927368,8902,,,,91,,78187291,4767889,,,,,,
2019-11-22,2194.633801382192,4268.105853199959,,31.8192679,35.2397962,31.8243599,35.2443096,0.7242107613205134,1.6179927587509155,0.21666666865348816,6483,,,,103,,79505684,3521024,,,,,,1800000
2019-11-23,1453.678781298097,940.0155481696129,,,,,,0.6546635944623741,1.1430596113204956,0.27674800157546997,1637,,,,16,,85198535,1182675,,,,,,
2019-11-24,1629.5370308059375,4990.977624535561,,31.7530697,35.2087364,31.8216734,35.2459868,1.2763910054505199,22.134096145629883,0.06994469463825226,7686,,,,82,,74307683,4144717,253237,,,,,
2019-11-25,1801.9658707115884,6681.866257607937,,31.7806088,35.2130394,31.8233461,35.244629,0.8006470513445498,2.3016319274902344,0.0,10675,,,,132,,75923295,5663060,,,,,,1200000
2019-11-26,1703.3807845367135,3617.8924403190613,,31.8208541,35.2372903,31.8236162,35.2440032,0.8596472459484806,4.10285758972168,0.2539478540420532,6023,,,,84,,81069862,3676070,,,,,,1200000
2019-11-27,1643.806140838746,5571.0785665512085,,31.7798585,35.2127527,31.8218112,35.2461433,0.935140207474898,13.398260116577148,0.28900396823883057,9221,,,,96,,78598432,5014715,,,,,,
2019-11-28,1956.6033859798667,12104.869269818068,,31.7668907,35.2220275,31.8229278,35.2538575,0.8972989240673321,11.13015365600586,0.0422787219285965,19060,,,,203,,71418664,11319166,,,,,,
2019-11-29,1881.6719934197693,5481.793438911438,,31.8190102,35.2385513,31.8258859,35.2451554,0.8134012652572911,1.4570053815841675,0.05154233053326607,8239,,,,121,,78229624,5999858,,,,,,1800000
2019-11-30,1475.952969560165,1495.0413940548897,,31.8195958,35.2397374,31.8217321,35.2415378,0.8232697583015913,2.5892903804779053,0.03790884092450142,2668,,,,27,,84768386,1631614,,,,,,
2019-12-01,1709.9402912523624,7050.967742659152,,31.7999842,35.2070471,31.8224121,35.2446325,1.118983674451092,20.931076049804688,0.26010358333587646,11703,,,,121,,75502341,6346361,,,,,,
2019-12-02,1608.3451243670738,4275.004996791482,,31.8189125,35.2397856,31.8223997,35.2447201,0.7171069301391495,6.996878147125244,0.26010358333587646,7273,,,,75,,81251592,4299993,,,,,,
2019-12-03,1725.4964850131457,4512.957116544247,,31.8191288,35.2397655,31.8262188,35.2448987,0.9844704866503745,4.498826503753662,0.03262437507510185,8004,,,,105,,79425791,6153867,,200000,,,,
2019-12-04,1849.350969825735,7393.137804746628,,31.7806347,35.2135393,31.8251041,35.2453008,0.9299431481622425,10.123641014099121,0.21097813546657562,12570,,,,145,,73741622,9157484,,,,,,
2019-12-05,1661.6866276238043,4779.364791870117,,31.8190405,35.2382093,31.822057,35.246028,1.0356141457978556,12.831781387329102,0.12125835567712784,7957,,,,91,,78706378,5002715,61073,,,,,
2019-12-06,1598.1950329004565,3787.7770156479673,,31.7512806,35.1866393,31.8217864,35.241343,2.1978781854911253,23.326101303100586,0.25788578391075134,6525,,,,74,,74904260,4095414,,,,,,
2019-12-07,1394.9999923706055,9.826135635375977,,,,,,0.8108115913679386,1.6039477586746216,0.5087330937385559,81,,,,,,86400000,,,,,,,
2019-12-08,1696.3752216846665,5983.343928664923,,31.7959414,35.2078418,31.8216946,35.2496987,0.9163946921099109,19.76878547668457,0.029717257246375084,9910,,,,105,,76587111,5654824,183111,,,,,
2019-12-09,1469.371813266754,1314.5907009840012,,31.8196855,35.2439274,31.8212714,35.2446254,0.7088337226632432,1.2816746234893799,0.25174567103385925,2584,,,,26,,84462139,1498972,,,,,,
2019-12-10,1673.1834447151646,4890.699666202068,,31.8196311,35.2395748,31.8218339,35.2453134,0.9433442268512349,16.619836807250977,0.2504701018333435,8280,,,,90,,73759359,5606812,,,,,,
2019-12-11,1687.187762942524,5755.781551063061,,31.7800765,35.2129543,31.8243078,35.246158,1.0479854310579648,11.85765266418457,0.15767143666744232,9586,,,,106,,78082886,5889072,,,,,,
2019-12-12,1535.9830467623922,2010.6728345155716,,,,,,1.7967543348808928,34.62959289550781,0.2541811466217041,3825,,,,52,,74136784,2841529,,,,,,
2019-12-13,1541.1910237941233,2693.6113066077232,,31.7707177,34.6171707,31.7743495,34.6225344,0.7454951265691878,2.2464020252227783,0.03981328010559082,4731,,,,55,,81886200,2946497,,,,,,
2019-12-14,1502.6622009981604,1691.2772735357285,,31.7869801,35.1989627,31.7901247,35.2043385,1.6775942152214425,28.342622756958008,0.24815402925014496,3486,,,,39,,77950716,2169944,,,,,,
2019-12-15,1751.4662355296527,7550.548468932509,,31.7995889,35.2068261,31.8217653,35.2446221,1.195706091501011,22.969541549682617,0.2503747344017029,12495,,,,136,,67091988,7178361,,,,,,
2019-12-16,1689.1391179796653,6415.895078010391,,31.7820818,35.216912,31.8251791,35.245958,0.8933287253757045,7.800000190734863,0.24123871326446533,10654,,,,114,,76868848,5928399,,,,,,
2019-12-17,1531.6589238354322,3124.0912746191025,,31.8191007,35.2431512,31.8217518,35.2496423,0.8800962815483094,10.36348819732666,0.15832731127738953,5297,,,,54,,82886886,2754373,,,,,,
2019-12-18,1674.96818646553,4908.710485270247,,31.7800434,35.2152867,31.8218433,35.2459908,0.7447173686859037,1.556624412536621,0.2547173500061035,8544,,,,99,,77926164,5642789,,,,,,
2019-12-19,1773.9814420268842,6825.244365071878,,31.7759027,35.2242434,31.8241608,35.2457239,0.9018342361705944,8.619377136230469,0.2057618498802185,11486,,,,136,,75763478,7633081,,,,,,
2019-12-20,1725.5773003769557,6023.059706692817,,31.81867,35.2399284,31.8217469,35.2495028,0.7132211337095855,3.0435872077941895,0.17576263844966888,9922,,,,100,,78617128,5584864,466662,,,,,
2019-12-21,1673.7472119388103,4752.471563868225,,31.8187346,35.2428638,31.8216254,35.2494616,0.7373970121949539,1.4797163009643555,0.0427464097738266,8198,,,,85,,80051091,5616046,,,,,,
2019-12-22,1693.798968053613,7655.221725542564,,31.795964,35.2070348,31.8215789,35.2496996,1.094766766918445,21.176044464111328,0.12761029601097107,12175,,,,125,,77469782,6022320,,,,,,
2019-12-23,1980.2162078948181,11239.417433038354,,31.8186999,35.2378436,31.8287442,35.2493528,0.8279110991461481,8.670000076293945,0.05648215487599373,19205,,,,200,,73683107,11795086,,,,,,
2019-12-24,1725.0641112435503,6599.404269814491,,31.8187265,35.2370898,31.8263087,35.2492629,0.7236245917092465,3.6868834495544434,0.2615303695201874,10905,,,,111,,77129760,6652472,,,,,,
2019-12-25,1793.4759369733804,6946.34037207067,,31.7743163,35.2241993,31.8251015,35.2494337,0.973545231120856,7.025399684906006,0.2410375326871872,11333,,,,131,,74063890,8030013,,,,,,
2019-12-26,1587.4530636544932,3358.1495373016223,,31.7512176,35.1869035,31.8197488,35.2493246,0.8194423944357894,1.9829915761947632,0.25185534358024597,6002,,,,68,,76494518,3878910,,,,,,
2019-12-27,1459.479597475641,1340.7326099574566,,31.8187497,35.2444931,31.8198521,35.2491072,1.4503759608622184,2.9678332805633545,0.26223376393318176,2136,,,,21,,85100408,1299592,,,,,,
2019-12-28,1394.999999205812,48.55267071723938,,,,,,0.6212587471381773,1.1082028150558472,0.3132269084453583,151,,,,2,,86352870,,,,,,,
2019-12-29,1518.057092948259,2034.5570314265788,,31.8187273,35.2438097,31.8216065,35.249124,2.092793562819675,17.514469146728516,0.28900396823883057,3689,,,,37,,81916867,2480226,,,,,,
2019-12-30,1498.3160722590449,2602.6083071045578,,31.8189734,35.2397907,31.8211379,35.2492301,0.6779856901127711,2.447951555252075,0.24899311363697052,4195,,,,39,,83793168,2082345,,,,,,
2019-12-31,1438.3478057428065,489.2354568839073,,31.818666,35.2490286,31.8198395,35.2496226,0.43624981210176345,1.4333131313323975,0.28900396823883057,997,,,,10,,85051129,873682,,,,,,
2020-01-01,1634.4397269013098,5770.492579996586,,31.7795816,35.212702,31.8216348,35.2492541,1.0109388076459522,9.5,0.26314693689346313,9330,,,,90,,79213250,4825933,,,,,,
2020-01-02,1547.525965804669,3830.394056558609,,31.7972314,35.2287552,31.8216644,35.2493242,1.1442054233655359,22.407320022583008,0.26010358333587646,6676,,,,68,,79398322,3074177,,,,,,
2020-01-03,1943.7061010615732,3607.792331457138,,31.8185786,35.2392778,31.8250434,35.2491592,1.1020746799503633,5.944965839385986,0.27546802163124084,5815,,,,117,,79088952,3441100,,,,,,3600000
2020-01-04,1454.5614263728237,913.1123037338257,,31.8186331,35.2428448,31.8216738,35.2492053,0.6987045366059556,1.4384305477142334,0.3426128625869751,1671,,,,15,,84422237,1200467,,,,,,
2020-01-05,1783.3501009633128,7910.905660942197,,31.7738218,35.2168282,31.8246638,35.2492787,0.9146392415241124,20.087875366210938,0.248976930975914,12600,,,,131,,75410243,7827228,,,,,,
2020-01-06,1921.0492521626547,7301.161565959454,,31.7794289,35.2127268,31.8250822,35.2491497,0.9051460541595542,10.552080154418945,0.27937051653862,11560,,,,144,,74849217,6793511,,,,,,1800000
2020-01-07,1677.1622697126738,5454.047414183617,,31.8186938,35.2391566,31.8248458,35.2496288,0.8781578346105479,2.329754114151001,0.25476375222206116,9173,,,,91,,79563852,5687006,,,,,,
2020-01-08,1551.1514251834149,3394.1524170786142,,31.7793698,35.2126791,31.8260977,35.2491329,0.7656908878724761,1.914186716079712,0.28900399804115295,5755,,,,55,,80417712,3147247,,,,,,
2020-01-09,1795.0489962525203,8175.5715806521475,,31.7804051,35.2126774,31.8249725,35.2493062,0.8528155881562196,10.112184524536133,0.21458806097507477,13208,,,,137,,74418423,8062998,,,,,,
2020-01-10,324.86870900517886,,,31.8186852,35.2490902,31.8187548,35.2491276,,,,,,,,,,20120902,,,,,,,
